,name,description,team,battingStyle,bowlingStyle,playingRole,photo url
160,Gareth Delany,,Ireland,Right hand Bat,Legbreak Googly,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319800/319872.1.png"
161,Mark Adair,,Ireland,Right hand Bat,Right arm Fast medium,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319800/319892.1.png"
162,Barry McCarthy,"When Ireland were granted Test status, McCarthy was ambitious to become a central part of Ireland's Test side, but he was ""bitterly disappointed"" to miss out on selection for their inaugural Test against Pakistan. He was released by Durham at the end of that 2018 summer.",Ireland,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319800/319870.1.png"
163,Josh Little,"Little had made his T20I debut two months short of his 17th birthday back in 2016, but found himself balancing academic commitments with cricket in the first two years of his career, limiting his availability. He began to feature more regularly from 2019 onwards, as one of a number of promising young Irish seamers coming through at the same time, and was awarded an emerging player contract that year.",Ireland,Right hand Bat,Left arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/367800/367860.1.png"
164,Ben White,,Ireland,Right hand Bat,Legbreak,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/339100/339163.1.png"
165,Mohammad Rizwan,"A limited batsman but a technically sound keeper when he first rose through the ranks, Rizwan made his international debut shortly after the 2015 World Cup when the slot behind the stumps was still up for grabs. He made a bright start against Bangladesh, Sri Lanka and Zimbabwe, averaging nearly 60 with the bat in his first eight innings, but against more challenging opposition, his deficiencies were quickly exposed. A lengthy lean patch followed, and once he lost his place to Sarfaraz for the World T20 in 2016, there was little doubt who Pakistan's No. 1 wicketkeeper was. After the debacle at the World T20, Sarfaraz was appointed captain of the limited-overs sides, and consequently Rizwan's game time diminished further, coming to a complete halt until Sarfaraz sat out the last five games on the tour to South Africa in January 2019 serving a ban.",Pakistan,Right hand Bat,Right arm Medium,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320400/320458.1.png"
166,Saim Ayub,"He didn't play any recognised T20 cricket for more than a year after that but an explosive National T20 Cup season showcased a deliberate change in his intent as he finished as the second-highest run-scorer in the tournament at a strike rate streets ahead of any other batter. It earned him a brief Bangladesh Premier League gig, as well as a second chance at the PSL, one he grasped with both hands. With Peshawar Zalmi, he finished among the highest run-scorers in 2023 and 2024, with strike rates of 165.53 and 157.53 respectively. With Babar Azam playing a relatively more sedate role alongside him, Ayub's ability to get Zalmi off to flyers stood them in good stead.",Pakistan,Left hand Bat,Right arm Offbreak,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/326400/326498.1.png"
167,Babar Azam,"Born in Lahore and a first cousin to the Akmal brothers, Azam made his way up through age-group cricket. His journey began at an under-15 world championship in 2008 and he played two under-19 World Cups in 2010 and 2012, where he was Pakistan's top run-scorer.",Pakistan,Right hand Bat,Right arm Offbreak,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/320400/320448.1.png"
168,Fakhar Zaman,"However, his prolific form earned him a contract in the PSL with the Lahore Qalandars. He showed flashes of the class he'd been displaying domestically, particularly during a 33-ball 56 against Karachi where he destroyed the opposition bowling and looked extremely elegant while doing so. It earned him a call-up to Pakistan's T20I side for the West Indies tour, and he made his debut in the second match in Port of Spain.",Pakistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/382000/382031.6.png"
169,Usman Khan,,Pakistan,Right hand Bat,Right arm Offbreak,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/391100/391192.2.png"
