,name,description,team,battingStyle,bowlingStyle,playingRole,photo url
221,Will Jacks,"But though his offspin is more than serviceable, Jacks is primarily a powerful top-order batter who has long been tipped for the top. He shot to mainstream attention on Surrey's pre-season tour in 2019, when he hit a 25-ball hundred in a T10 friendly against Lancashire in Dubai, by which stage he had graduated from a spell with England's Under-19s which included a century against India in a Youth Test and the vice-captaincy at the 2018 World Cup.",England,Right hand Bat,Right arm Offbreak,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383155.1.png"
222,Glenn Phillips,"Although he made his T20I debut for New Zealand in 2017, he only cemented his place in the white-ball sides in 2020, using regular appearances in the CPL to hone his skills. In November 2020 against West Indies, he scored a 46-ball T20I century, then the fastest for a New Zealander, and he finished 2021 with the most sixes in T20s that year. Batting primarily in the middle order, Phillips was instrumental in New Zealand's run to the 2021 T20 World Cup final, and played an unforgettable innings in the 2022 edition - a 64-ball 104 against Sri Lanka in a match in which the other 19 batters combined to score 149 runs off the bat. He kicked off 2023 with a counterattacking half-century from No. 7 against Pakistan that clinched New Zealand's first ODI series win in the subcontinent since 2008.",New Zealand,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383167.1.png"
223,James Neesham,"He made his international debut in a Twenty20 international on New Zealand's tour to South Africa in 2012-13, following some impressive performances in the shorter formats in the domestic season. Neesham began his first-class career with Auckland, but a move Otago worked well for him, as he made some important contributions in the 50-over format in the 2011-12 season, making three 40-plus scores in seven innings, all of them coming at more than a run a ball. He was among the wickets too, taking a career-best 5 for 44 against Wellington and 4 for 23 against Canterbury. The rewards came soon, as he was included in the limited-overs squads for the tour to South Africa and made his T20I and ODI debuts.",New Zealand,Left hand Bat,Right arm Medium fast,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383171.1.png"
224,Mohammed Siraj,"Sturdy and athletic, Siraj has a deceptive run-up, which initially suggests that a left-arm bowler is steaming in. He is, however, a right-armer and by his own admission is a natural at getting the ball to swing into the right-hander. He has always been able to bowl a pretty quick bouncer though, something that had impressed his captain David Warner and team mentor VVS Laxman in the Sunrisers Hyderabad set-up.",India,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322600/322611.1.png"
225,Jan Frylinck,,Namibia,Left hand Bat,Left arm Fast medium,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/348600/348605.1.png"
226,Zane Green,,Namibia,Left hand Bat,N/A,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/350300/350307.1.png"
227,Ben Shikongo,,Namibia,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/329700/329760.1.png"
228,Aaron Johnson,,Canada,Right hand Bat,Right arm Offbreak,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392100/392146.2.png"
229,Navneet Dhaliwal,,Canada,Right hand Bat,Right arm Medium fast,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321200/321280.1.png"
230,Pargat Singh,,Canada,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392100/392151.2.png"
231,Nicholas Kirton,,Canada,Left hand Bat,N/A,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392100/392150.2.png"
232,Shreyas Movva,,Canada,Right hand Bat,N/A,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392100/392147.2.png"
233,Ravinderpal Singh,,Canada,Right hand Bat,Right arm Offbreak,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392100/392148.2.png"
234,Saad Bin Zafar,,Canada,Left hand Bat,Slow Left arm Orthodox,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321200/321289.1.png"
235,Kaleem Sana,"Later he moved to Canada and was picked in their squad for the 2024 T20 World Cup.
ESPNcricinfo staff",Canada,Right hand Bat,Left arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392100/392155.2.png"
236,Dilon Heyliger,,Canada,Right hand Bat,Right arm Medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321200/321263.1.png"
237,Naseem Shah,"His talent was so blindingly obvious it was only a matter of when things clicked for him. He became the youngest fast bowler in Test history to take a five-wicket haul, doing so in Karachi against Sri Lanka in just his second match. Records continued to tumble, with Naseem becoming the youngest to take a Test match hat-trick in his third Test against Bangladesh.",Pakistan,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322200/322223.2.png"
238,Jeremy Gordon,,Canada,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/386600/386652.5.png"
239,Junaid Siddiqui,,Canada,Right hand Bat,Legbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/386600/386653.5.png"
240,Naseem Khushi,,Oman,Right hand Bat,N/A,Wicketkeeper,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321700/321778.1.png"
241,Rafiullah,,Oman,Right hand Bat,Right arm Medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392100/392164.2.png"
242,Shakeel Ahmed,,Oman,Left hand Bat,Slow Left arm Orthodox,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/381900/381930.2.jpg"
243,Iftikhar Ahmed,"Up until then, the lone highlight of Iftikhar's white-ball international career had been his 5 for 40 against Zimbabwe in his sixth match, in 2020, which came five years after his first.",Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/382000/382033.4.png"
244,Roger Mukasa,,Uganda,Right hand Bat,Right arm Offbreak,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/387500/387518.6.png"
245,Frank Nsubuga,,Uganda,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/387500/387521.6.png"
246,Teja Nidamanuru,,Netherlands,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/368000/368040.1.png"
247,Mark Chapman,,New Zealand,Left hand Bat,Slow Left arm Orthodox,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383176.1.png"
248,Michael Bracewell,"Six months later he announced himself in white-ball international cricket with a similarly outrageous effort, smashing an unbeaten 127 off 82 balls from No. 7 - his maiden one-day hundred - as New Zealand hunted down 301 from 120 for 5 against Ireland in Dublin. Although he was a wicketkeeper-batter early in his domestic career, Bracewell adapted to being more of an offspin-bowling allrounder role for New Zealand, even taking a hat-trick in his second T20I, against Ireland. He was picked for the 2022 T20 World Cup, but didn't make it to the XI.",New Zealand,Left hand Bat,Right arm Offbreak,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383179.1.png"
249,Matt Henry,"He played in only two matches in the 2015 World Cup, and incredibly they were the most important, the semi-final against South Africa and the final against Australia.",New Zealand,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383100/383178.1.png"
250,Dilpreet Bajwa,,Canada,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392100/392149.2.png"
251,Craig Young,"Before long, Young was drawing comparisons with Boyd Rankin, not just because of his threatening pace and bounce but also his Londonderry roots. Unfortunately his career has mirrored Rankin in another way - that of catching the injury bug. Since making his debut, Young has been in the starting XI for less than half of Ireland's ODIs while dealing with a rash of fitness issues. But when he's been able to take the field, there have been few more impressive statistical performers for Ireland. He has one of the highest strike rates and lowest bowling averages among Ireland's top ODI wicket-takers.",Ireland,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/386300/386360.5.png"
252,JP Kotze,,Namibia,Left hand Bat,N/A,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390800/390804.2.png"
253,Malan Kruger,,Namibia,Right hand Bat,N/A,Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/390700/390713.2.png"
254,Tangeni Lungameni,,Namibia,Right hand Bat,Left arm Medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/350300/350306.1.png"
255,Brad Currie,"Currie, who qualifies for Scotland through his dad, made his international debut at the ICC T20 World Cup Qualifier in 2023. He took 5 for 13 in the final against Ireland - just his sixth appearance - and helped to secure the team's place at the 2024 tournament in the Caribbean and USA.ESPNcricinfo staff",Scotland,Right hand Bat,Left arm Medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392100/392119.2.png"
256,Azam Khan,,Pakistan,Right hand Bat,N/A,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/326500/326525.3.png"
257,Monank Patel,,U.S.A.,Right hand Bat,N/A,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383210.1.png"
258,Sagar Dhakal,,Nepal,Right hand Bat,Slow Left arm Orthodox,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/392100/392144.2.png"
259,Bilal Hassan,,Uganda,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/275800/275802.1.jpg"
260,Henry Ssenyondo,,Uganda,Right hand Bat,Slow Left arm Orthodox,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/391200/391249.2.png"
261,Mujeeb Ur Rahman,"At 16, Mujeeb was part of an Afghanistan Under-19 side that dismantled Bangladesh 3-1 away in 2017. Bowling predominantly with the new ball, he took eight wickets in the first three games of that series and 7 for 19 in the fourth, where Afghanistan successfully defended 134. The month after, he starred in a historic U-19 Asia Cup title win for Afghanistan, taking 5 for 13 as his team beat Pakistan in the final.",Afghanistan,Right hand Bat,Right arm Offbreak,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383240.1.png"
262,Sadeera Samarawickrama,"Having begun his cricket at Colombo's Thurstan College, Samarawickrama moved to St Joseph's in his final years, and prospered in the school system, even hitting a memorable 126 in St Joseph's biggest fixture of the year. That performance propelled him into Sri Lanka's Under-19 squad, where he again impressed, making 265 runs at an average of 44.17 in the 2014 Youth World Cup.",Sri Lanka,Right hand Bat,N/A,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/323000/323069.1.png"
263,Mohammad Nadeem,"Since then he has rewarded the faith of Oman's management by transforming into an indispensable middle-order allrounder. There is nothing flashy about his batting technique, but his ability to soak up pressure in tense situations and get Oman across the line with a string of valuable not-outs was instrumental in their progress through the final stages of the World Cricket League ladder to secure ODI status in April 2019.",Oman,Right hand Bat,Right arm Medium fast,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321700/321777.1.png"
264,Nikhil Dutta,,Canada,Right hand Bat,Right arm Offbreak,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/321200/321281.1.png"
