,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,Match ID,balls
421,Netherlands vs South Africa,Netherlands,Logan van Beek,4.0,1,21,2,5.25,13,1,1,0,0,T20I # 2649,24
422,Netherlands vs South Africa,Netherlands,Paul van Meekeren,4.0,1,13,0,3.25,17,1,0,1,0,T20I # 2649,24
423,Netherlands vs South Africa,Netherlands,Bas de Leede,3.5,0,34,1,8.86,12,2,2,0,1,T20I # 2649,23
424,Netherlands vs South Africa,Netherlands,Tim Pringle,2.0,0,14,0,7.0,4,0,1,0,0,T20I # 2649,12
425,Netherlands vs South Africa,Netherlands,Vikramjit Singh,1.0,0,11,0,11.0,0,0,1,0,0,T20I # 2649,6
426,Sri Lanka vs Bangladesh,Bangladesh,Tanzim Hasan Sakib,4.0,0,24,1,6.0,14,2,1,0,0,T20I # 2646,24
427,Sri Lanka vs Bangladesh,Bangladesh,Shakib Al Hasan,3.0,0,30,0,10.0,5,4,0,0,0,T20I # 2646,18
428,Sri Lanka vs Bangladesh,Bangladesh,Taskin Ahmed,4.0,0,25,2,6.25,12,3,0,1,0,T20I # 2646,24
429,Sri Lanka vs Bangladesh,Bangladesh,Mustafizur Rahman,4.0,0,17,3,4.25,14,2,0,1,0,T20I # 2646,24
430,Sri Lanka vs Bangladesh,Bangladesh,Rishad Hossain,4.0,0,22,3,5.5,10,1,1,0,0,T20I # 2646,24
431,Sri Lanka vs Bangladesh,Bangladesh,Mahmudullah,1.0,0,4,0,4.0,2,0,0,0,0,T20I # 2646,6
432,Sri Lanka vs Bangladesh,Sri Lanka,Dhananjaya de Silva,2.0,0,11,1,5.5,3,0,0,1,0,T20I # 2646,12
433,Sri Lanka vs Bangladesh,Sri Lanka,Nuwan Thushara,4.0,0,18,4,4.5,14,1,0,5,0,T20I # 2646,24
434,Sri Lanka vs Bangladesh,Sri Lanka,Maheesh Theekshana,4.0,0,25,0,6.25,8,1,0,3,0,T20I # 2646,24
435,Sri Lanka vs Bangladesh,Sri Lanka,Wanindu Hasaranga,4.0,0,32,2,8.0,12,0,4,0,0,T20I # 2646,24
436,Sri Lanka vs Bangladesh,Sri Lanka,Matheesha Pathirana,4.0,0,27,1,6.75,11,1,1,2,0,T20I # 2646,24
437,Sri Lanka vs Bangladesh,Sri Lanka,Dasun Shanaka,1.0,0,11,0,11.0,2,0,1,1,0,T20I # 2646,6
438,Afghanistan vs New Zealand,New Zealand,Trent Boult,4.0,0,22,2,5.5,12,1,1,0,0,T20I # 2645,24
439,Afghanistan vs New Zealand,New Zealand,Matt Henry,4.0,0,37,2,9.25,10,3,2,0,0,T20I # 2645,24
440,Afghanistan vs New Zealand,New Zealand,Mitchell Santner,4.0,0,24,0,6.0,11,3,0,0,0,T20I # 2645,24
441,Afghanistan vs New Zealand,New Zealand,Michael Bracewell,3.0,0,27,0,9.0,6,0,3,0,0,T20I # 2645,18
442,Afghanistan vs New Zealand,New Zealand,Lockie Ferguson,4.0,0,28,1,7.0,12,3,1,0,0,T20I # 2645,24
443,Afghanistan vs New Zealand,New Zealand,Daryl Mitchell,1.0,0,16,0,16.0,0,0,2,0,0,T20I # 2645,6
444,Afghanistan vs New Zealand,Afghanistan,Fazalhaq Farooqi,3.2,0,17,4,5.1,15,2,0,3,0,T20I # 2645,20
445,Afghanistan vs New Zealand,Afghanistan,Mohammad Nabi,4.0,0,16,2,4.0,11,0,0,0,0,T20I # 2645,24
446,Afghanistan vs New Zealand,Afghanistan,Naveen-ul-Haq,3.0,0,10,0,3.33,12,1,0,0,0,T20I # 2645,18
447,Afghanistan vs New Zealand,Afghanistan,Rashid Khan,4.0,0,17,4,4.25,16,2,0,2,0,T20I # 2645,24
448,Afghanistan vs New Zealand,Afghanistan,Noor Ahmad,1.0,0,10,0,10.0,1,0,1,0,0,T20I # 2645,6
449,Canada vs Ireland,Ireland,Mark Adair,4.0,0,23,1,5.75,10,2,0,1,0,T20I # 2644,24
450,Canada vs Ireland,Ireland,Josh Little,4.0,0,37,0,9.25,6,4,0,2,0,T20I # 2644,24
451,Canada vs Ireland,Ireland,Craig Young,4.0,0,32,2,8.0,13,3,2,1,0,T20I # 2644,24
452,Canada vs Ireland,Ireland,Barry McCarthy,4.0,0,24,2,6.0,12,4,0,0,0,T20I # 2644,24
453,Canada vs Ireland,Ireland,Gareth Delany,2.0,0,10,1,5.0,5,0,0,0,0,T20I # 2644,12
454,Canada vs Ireland,Ireland,Curtis Campher,2.0,0,11,0,5.5,4,0,0,1,0,T20I # 2644,12
455,Canada vs Ireland,Canada,Kaleem Sana,4.0,0,38,0,9.5,11,4,1,3,0,T20I # 2644,24
456,Canada vs Ireland,Canada,Jeremy Gordon,4.0,0,16,2,4.0,14,1,0,1,0,T20I # 2644,24
457,Canada vs Ireland,Canada,Junaid Siddiqui,4.0,0,27,1,6.75,9,1,1,0,0,T20I # 2644,24
458,Canada vs Ireland,Canada,Saad Bin Zafar,4.0,0,22,1,5.5,7,0,0,0,0,T20I # 2644,24
459,Canada vs Ireland,Canada,Dilon Heyliger,4.0,0,18,2,4.5,12,1,0,1,0,T20I # 2644,24
460,Namibia vs Scotland,Scotland,Brad Wheal,4.0,0,33,3,8.25,8,2,1,1,1,T20I # 2643,24
461,Namibia vs Scotland,Scotland,Brad Currie,4.0,0,16,2,4.0,12,1,0,0,0,T20I # 2643,24
462,Namibia vs Scotland,Scotland,Chris Sole,3.0,0,23,1,7.66,7,3,0,1,1,T20I # 2643,18
463,Namibia vs Scotland,Scotland,Mark Watt,4.0,0,39,0,9.75,8,4,2,0,0,T20I # 2643,24
464,Namibia vs Scotland,Scotland,Chris Greaves,3.0,0,24,1,8.0,5,1,1,0,0,T20I # 2643,18
465,Namibia vs Scotland,Scotland,Michael Leask,2.0,0,16,1,8.0,4,1,1,0,0,T20I # 2643,12
466,Namibia vs Scotland,Namibia,Ruben Trumpelmann,4.0,0,36,1,9.0,9,1,1,4,1,T20I # 2643,24
467,Namibia vs Scotland,Namibia,David Wiese,3.3,0,30,0,8.57,10,1,3,0,0,T20I # 2643,21
468,Namibia vs Scotland,Namibia,Tangeni Lungameni,3.0,0,39,1,13.0,4,3,2,1,0,T20I # 2643,18
469,Namibia vs Scotland,Namibia,Bernard Scholtz,4.0,0,20,1,5.0,7,1,0,0,0,T20I # 2643,24
470,Namibia vs Scotland,Namibia,Gerhard Erasmus,4.0,0,29,2,7.25,9,1,1,2,0,T20I # 2643,24
471,Pakistan vs U.S.A.,U.S.A.,Nosthush Kenjige,4.0,0,30,3,7.5,10,1,2,0,0,T20I # 2642,24
472,Pakistan vs U.S.A.,U.S.A.,Saurabh Netravalkar,4.0,0,18,2,4.5,13,0,1,0,0,T20I # 2642,24
473,Pakistan vs U.S.A.,U.S.A.,Ali Khan,4.0,0,30,1,7.5,8,2,1,2,0,T20I # 2642,24
474,Pakistan vs U.S.A.,U.S.A.,Harmeet Singh,4.0,0,34,0,8.5,9,2,2,1,0,T20I # 2642,24
475,Pakistan vs U.S.A.,U.S.A.,Jasdeep Singh,3.0,0,37,1,12.33,4,2,3,1,0,T20I # 2642,18
476,Pakistan vs U.S.A.,U.S.A.,Corey Anderson,1.0,0,6,0,6.0,3,1,0,0,0,T20I # 2642,6
477,Pakistan vs U.S.A.,Pakistan,Shaheen Shah Afridi,4.0,0,33,0,8.25,13,5,1,2,0,T20I # 2642,24
478,Pakistan vs U.S.A.,Pakistan,Mohammad Amir,4.0,0,25,1,6.25,12,2,0,3,0,T20I # 2642,24
479,Pakistan vs U.S.A.,Pakistan,Naseem Shah,4.0,0,26,1,6.5,9,3,0,2,0,T20I # 2642,24
480,Pakistan vs U.S.A.,Pakistan,Haris Rauf,4.0,0,37,1,9.25,9,4,1,1,0,T20I # 2642,24
481,Pakistan vs U.S.A.,Pakistan,Shadab Khan,3.0,0,27,0,9.0,4,0,2,1,0,T20I # 2642,18
482,Pakistan vs U.S.A.,Pakistan,Iftikhar Ahmed,1.0,0,10,0,10.0,2,2,0,0,0,T20I # 2642,6
483,Australia vs Oman,Oman,Bilal Khan,4.0,0,36,1,9.0,9,4,1,1,1,T20I # 2641,24
484,Australia vs Oman,Oman,Kaleemullah,3.0,0,30,1,10.0,7,4,1,0,0,T20I # 2641,18
485,Australia vs Oman,Oman,Shakeel Ahmed,4.0,0,28,0,7.0,10,2,1,0,1,T20I # 2641,24
486,Australia vs Oman,Oman,Mehran Khan,4.0,0,38,2,9.5,12,1,4,0,1,T20I # 2641,24
487,Australia vs Oman,Oman,Aqib Ilyas,4.0,0,18,0,4.5,10,1,0,0,0,T20I # 2641,24
488,Australia vs Oman,Oman,Zeeshan Maqsood,1.0,0,12,0,12.0,0,2,0,0,0,T20I # 2641,6
489,Australia vs Oman,Australia,Mitchell Starc,3.0,0,20,2,6.66,12,3,0,5,0,T20I # 2641,18
490,Australia vs Oman,Australia,Josh Hazlewood,4.0,0,21,0,5.25,12,1,1,0,0,T20I # 2641,24
491,Australia vs Oman,Australia,Nathan Ellis,4.0,0,28,2,7.0,9,2,1,1,0,T20I # 2641,24
492,Australia vs Oman,Australia,Marcus Stoinis,3.0,0,19,3,6.33,11,1,1,1,0,T20I # 2641,18
493,Australia vs Oman,Australia,Glenn Maxwell,2.0,0,11,0,5.5,5,1,0,1,0,T20I # 2641,12
494,Australia vs Oman,Australia,Adam Zampa,4.0,0,24,2,6.0,11,0,2,0,0,T20I # 2641,24
495,P.N.G. vs Uganda,Uganda,Alpesh Ramjani,4.0,1,17,2,4.25,16,1,1,0,0,T20I # 2640,24
496,P.N.G. vs Uganda,Uganda,Cosmas Kyewuta,3.1,0,17,2,5.36,9,2,0,0,0,T20I # 2640,19
497,P.N.G. vs Uganda,Uganda,Juma Miyagi,4.0,0,11,2,2.75,16,0,0,0,1,T20I # 2640,24
498,P.N.G. vs Uganda,Uganda,Brian Masaba,4.0,0,17,1,4.25,11,1,0,0,0,T20I # 2640,24
499,P.N.G. vs Uganda,Uganda,Frank Nsubuga,4.0,2,4,2,1.0,20,0,0,0,0,T20I # 2640,24
500,P.N.G. vs Uganda,P.N.G.,Alei Nao,4.0,0,16,2,4.0,16,0,0,3,0,T20I # 2640,24
501,P.N.G. vs Uganda,P.N.G.,Norman Vanua,4.0,0,19,2,4.75,17,1,0,6,0,T20I # 2640,24
502,P.N.G. vs Uganda,P.N.G.,Chad Soper,4.0,0,13,1,3.25,14,0,0,1,0,T20I # 2640,24
503,P.N.G. vs Uganda,P.N.G.,Assad Vala,2.0,0,10,1,5.0,6,1,0,0,0,T20I # 2640,12
504,P.N.G. vs Uganda,P.N.G.,John Kariko,4.0,0,18,0,4.5,8,0,0,0,0,T20I # 2640,24
505,P.N.G. vs Uganda,P.N.G.,Charles Amini,0.2,0,2,0,6.0,1,0,0,0,0,T20I # 2640,2
506,Ireland vs India,India,Arshdeep Singh,4.0,0,35,2,8.75,14,3,1,5,1,T20I # 2639,24
507,Ireland vs India,India,Mohammed Siraj,3.0,0,13,1,4.33,14,2,0,0,0,T20I # 2639,18
508,Ireland vs India,India,Jasprit Bumrah,3.0,1,6,2,2.0,13,0,0,0,0,T20I # 2639,18
509,Ireland vs India,India,Hardik Pandya,4.0,1,27,3,6.75,14,2,2,0,0,T20I # 2639,24
510,Ireland vs India,India,Axar Patel,1.0,0,3,1,3.0,3,0,0,0,0,T20I # 2639,6
511,Ireland vs India,India,Ravindra Jadeja,1.0,0,7,0,7.0,2,1,0,0,0,T20I # 2639,6
512,Ireland vs India,Ireland,Mark Adair,4.0,0,27,1,6.75,13,3,0,3,0,T20I # 2639,24
513,Ireland vs India,Ireland,Josh Little,4.0,0,42,0,10.5,12,2,4,3,0,T20I # 2639,24
514,Ireland vs India,Ireland,Barry McCarthy,2.2,0,18,0,7.71,5,1,1,0,0,T20I # 2639,14
515,Ireland vs India,Ireland,Curtis Campher,1.0,0,4,0,4.0,3,0,0,0,0,T20I # 2639,6
516,Ireland vs India,Ireland,Ben White,1.0,0,6,1,6.0,3,1,0,0,0,T20I # 2639,6
517,Nepal vs Netherlands,Netherlands,Vivian Kingma,4.0,0,23,0,5.75,15,4,0,2,0,T20I # 2638,24
518,Nepal vs Netherlands,Netherlands,Tim Pringle,4.0,0,20,3,5.0,13,1,1,0,0,T20I # 2638,24
